Prefix,Designation,Date,WHOIS,RDAP,Status [1],Note
102.0.0.1/8,AFRINIC,2011-02,whois.afrinic.net,https://rdap.afrinic.net/rdap/http://rdap.afrinic.net/rdap/,ALLOCATED,
103.0.0.1/8,APNIC,2011-02,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
104.0.0.1/8,ARIN,2011-02,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
105.0.0.1/8,AFRINIC,2010-11,whois.afrinic.net,https://rdap.afrinic.net/rdap/http://rdap.afrinic.net/rdap/,ALLOCATED,
106.0.0.1/8,APNIC,2011-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
107.0.0.1/8,ARIN,2010-02,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
108.0.0.1/8,ARIN,2008-12,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
109.0.0.1/8,RIPE NCC,2009-01,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
110.0.0.1/8,APNIC,2008-11,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
111.0.0.1/8,APNIC,2008-11,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
112.0.0.1/8,APNIC,2008-05,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
113.0.0.1/8,APNIC,2008-05,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
114.0.0.1/8,APNIC,2007-10,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
115.0.0.1/8,APNIC,2007-10,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
116.0.0.1/8,APNIC,2007-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
117.0.0.1/8,APNIC,2007-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
118.0.0.1/8,APNIC,2007-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
119.0.0.1/8,APNIC,2007-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
120.0.0.1/8,APNIC,2007-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
121.0.0.1/8,APNIC,2006-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
122.0.0.1/8,APNIC,2006-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
123.0.0.1/8,APNIC,2006-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
124.0.0.1/8,APNIC,2005-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
125.0.0.1/8,APNIC,2005-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
126.0.0.1/8,APNIC,2005-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
127.0.0.1/8,IANA - Loopback,1981-09,,,RESERVED,[6]
