Prefix,Designation,Date,WHOIS,RDAP,Status [1],Note
222.0.0.1/8,APNIC,2003-02,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
223.0.0.1/8,APNIC,2010-04,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
224.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
225.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
226.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
227.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
228.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
229.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
230.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
231.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
232.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
233.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
234.0.0.1/8,Multicast,1981-09,,,RESERVED,[13][14]
235.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
236.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
237.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
238.0.0.1/8,Multicast,1981-09,,,RESERVED,[13]
239.0.0.1/8,Multicast,1981-09,,,RESERVED,[13][15]
240.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
241.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
242.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
243.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
244.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
245.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
246.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
247.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
248.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
249.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
250.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
251.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
252.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
253.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
254.0.0.1/8,Future use,1981-09,,,RESERVED,[16]
255.0.0.1/8,Future use,1981-09,,,RESERVED,[16][17]
